Word,Frequency
Desi,1
Khaand,1
Petha🧡🧡,1
One,4
of,24
the,39
tastiest,1
petha,1
that,9
i,4
have,4
eaten👌🏻👌🏻Available,1
at,6
Pracheen,2
Petha,2
Agra,1
You,1
can,4
order,1
on,12
9760049443#foodieincarnate,1
#sodelhi,7
#newdelhi,6
#foodtalkindia,8
#delhigram,7
#indianfood,8
#delhifoodblogger,13
#foodgasm,5
#foodporn,6
#foodpornshare,4
#foodlover,4
#foodgram,4
#foodiesofinstagram,4
#foodie,7
#indianstreetfood,5
#streetfood,8
#delhistreetfood,6
#streetfoodindia,4
#mumbaistreetfood,5
#delhifoodie,6
#foodblogger,12
#indianfoodie,6
#bulletlover,1
#indianfoodblogger,12
#indianfoodbloggers,14
#delhifood,6
#petha,2
#delhi,10
#agra,2
#mithai,2
Most,1
Unique,1
Flavours,1
Panipuri😱😱Kindly,1
watch,1
full,7
video,3
for,17
location,1
price,2
&,6
other,1
details🤗🤗#foodieincarnate,1
#desikhana,8
#mumbai,3
#nagpur,1
#panipuri,1
I’m,1
celebrating,1
day,3
our,8
constitution,1
came,1
into,2
effect,1
by,3
shopping,1
Amazonin,1
during,3
Great,2
Republic,1
Day,1
Sale,1
From,1
daily,1
essentials,1
apparel,1
to,19
smartphones,1
and,33
TVs,1
they’ve,1
got,1
it,9
all,2
Not,1
only,3
this,12
but,2
customers,1
also,1
save,1
more,2
getting,1
an,1
extra,1
10%,1
instant,1
discount,1
with,9
SBI,1
Credit,1
Cards,1
EMI,1
transactions,1
So,1
don’t,1
wait,1
shop,2
your,6
hearts,1
out,2
as,4
offers,1
are,6
valid,1
till,1
20th,1
January,2
2022,2
#Foodieincarnate,1
#Collaboartion,1
#StayHomeStaySafe,1
#AmazonGreatRepublicDaySale,1
#BigSavingsForEveryone,1
If,1
am,2
choose,2
breakfast,3
from,12
one,4
city,1
rest,1
my,5
life,1
ill,1
Bangalores,1
without,1
any,1
second,1
thought❤❤This,1
is,15
Shiva,1
Prasad,1
Tiffin,1
Center,1
in,17
Kempegowda,1
Nagar,1
Bengaluru,1
Every,1
single,1
dish,2
tried,2
here,2
was,5
too,2
delicious,2
just,2
Rs,2
26,1
idly-vada,1
plate,2
80,1
thali,1
,7
Add,1
owner,1
so,2
humble,1
welcoming,1
Must,1
visit,1
when,1
you,6
Bangalore❤👍🏻#foodieincarnate,1
#desifood,2
#thali,1
#idli,1
#nammakarnataka,1
#nammabengaluru,1
#nammabangalore,1
#bangalorefood,1
#bangalorefoodie,1
#bangalorefoodblogger,1
#bengaluru,1
#bangalore,1
#karnataka,1
#delhifoodies,3
#southindianfood,1
#foodstagram,3
#instadaily,3
#foodmaniacindia,3
#instafood,2
#sobangalore,1
@jantadhabasidhauli,1
s,1
Famous,2
Topibaaj,1
ki,1
Chai🤩🤩📍Janta,1
Dhaba,1
Biswah,1
Chauraha,1
Sidhauli,1
Uttar,1
PradeshVisit,1
best,1
chai,1
snacks,1
experience,2
Lucknow,1
Sitapur,1
highway🤗🤗#foodieincarnate,1
#jantadhaba,1
#sidhauli,1
Agra😳😳Watch,1
YouTube,8
channel,8
Link,2
bio🤗🤗#Foodieincarnate,2
#Reelitfeelit,2
#reelkarofeelkaro,4
#reelsinstagram,11
#reels,11
#viralvideos,2
#viralfood,2
#explore,2
Choose,1
one:,1
Moong,2
Dal,2
Halwa,2
Gajar,2
ka,4
or,4
Gur,1
Halwa🤗🤗,1
All,2
three,1
made,5
desi,1
ghee😋😋📍The,1
legendary,1
Madan,1
Lal,1
Halwai,1
since,1
1948,1
Sadar,1
Bazaar,1
New,2
